team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush
Falcons,Buccaneers,18.125,5.75,50.375,0.2200320512820512,0.3333333333333333,0.5898207625702643,0.0,0.75,0.375,193.125,9.875,0.6875,106.375,6.25,25.25,0.1501578282828282,11.125,58.125,299.5,1.125,5.9125,5.125,4.0875,17.375,4.625,32.5,0.3603648190045249,0.4232142857142857,0.594530700804083,0.125,0.375,0.625,172.625,8.125,0.5,118.125,7.625,27.75,0.1292388167388167,11.375,62.375,290.75,1.0,5.275,4.725,4.1625
Browns,Bears,16.0,6.25,47.875,0.2959439457601222,0.1041666666666666,0.5732133318070818,0.25,0.5,0.625,162.875,7.375,0.4375,95.5,5.875,25.125,0.1478713275614006,11.875,59.5,258.375,1.125,5.0125,4.375,3.8,22.75,6.5,51.75,0.4416480986333927,0.5104166666666666,0.55536305898148,0.0,0.25,0.5,210.375,11.25,0.59375,178.75,10.125,33.875,0.1279113247863247,11.125,69.5,389.125,0.75,5.9,5.6125,5.175
Ravens,Bengals,19.375,5.5,48.875,0.3564628182275241,0.6979166666666666,0.6198143072395239,0.0,0.875,0.625,173.5,8.25,0.4229166666666666,160.0,9.25,33.125,0.1549390826564739,11.0,63.5,333.5,1.5,5.8875,5.3,4.8625,22.625,5.0,39.125,0.4745332883490778,0.5208333333333334,0.6123424754738872,0.25,0.375,0.75,264.5,13.625,0.6020833333333333,104.875,6.75,21.75,0.141220238095238,10.375,64.75,369.375,1.125,6.1125,5.725,4.725
Chargers,Chiefs,19.875,6.0,44.25,0.4760017266015718,0.3854166666666667,0.6425701763451309,0.0,0.375,0.875,203.125,10.375,0.5169642857142857,131.25,8.0,30.25,0.2797025086226538,10.375,65.625,334.375,1.25,5.65,5.0249999999999995,4.175,23.0,6.125,52.875,0.3904017857142857,0.6458333333333333,0.6285316629945786,0.0,0.125,1.0,252.625,13.25,0.63125,118.25,7.75,28.375,0.2375496031746031,10.0,67.5,370.875,1.125,6.4875,5.475,4.25
Bills,Patriots,20.5,6.375,55.375,0.4573705808080808,0.41875,0.6934172498430811,0.375,0.75,1.0,216.25,10.875,0.5229166666666667,159.875,8.0,30.375,0.1289170015832419,10.25,62.0,376.125,1.75,6.925,6.1125,5.25,21.0,4.875,40.125,0.4401119713619713,0.5208333333333333,0.7085418624538888,0.375,0.25,0.5,254.875,12.625,0.38125,124.0,7.0,31.125,0.401623273991695,10.375,63.25,378.875,0.75,7.975,6.0125,3.975
Commanders,Giants,18.875,6.25,55.125,0.4111873114630467,0.5416666666666666,0.6337893356643357,0.0,0.75,1.125,190.0,9.75,0.6375,124.0,7.0,28.875,0.2188339438339438,9.5,60.875,314.0,1.875,6.0125,5.1375,4.2375,20.625,6.625,50.375,0.4552015692640692,0.4166666666666667,0.6133910050935913,0.0,0.375,0.375,224.75,9.625,0.5645833333333333,127.5,8.5,30.875,0.4555248917748917,10.375,63.875,352.25,0.75,6.6875,5.45,4.175
Raiders,Eagles,14.875,7.25,55.875,0.31210407239819,0.2916666666666666,0.6881891822448888,0.0,0.25,0.625,168.375,10.125,0.6354166666666666,47.75,2.875,18.75,0.1614205478429616,10.875,54.0,216.125,0.875,4.8,3.975,2.575,17.125,7.5,59.0,0.3028712606837607,0.3333333333333333,0.644551747804625,0.125,0.75,0.75,222.125,10.5,0.4375,117.125,5.375,26.25,0.1122838762544644,10.875,58.25,339.25,1.5,7.0625,5.9125,4.3875
Jets,Jaguars,14.375,5.75,47.375,0.3494115259740259,0.3333333333333333,0.5489692088956795,0.375,0.25,0.875,128.625,6.875,0.2833333333333333,118.375,6.625,27.5,0.1650009712509712,11.125,58.5,247.0,1.125,3.9875,4.125,4.1875,21.125,8.75,74.0,0.3557874417249417,0.5541666666666667,0.5966641474137504,0.125,0.375,0.75,206.5,11.125,0.5166666666666666,112.125,7.625,30.125,0.1281314856561567,11.25,65.5,318.625,1.125,6.075,4.875,3.725
Cardinals,Texans,22.5,6.875,53.125,0.4382154304029304,0.0916666666666666,0.6590165341873746,0.125,0.625,0.625,281.5,15.125,0.5854166666666667,83.375,5.75,21.375,0.1652565457798016,10.625,68.375,364.875,1.25,5.975,5.35,3.85,19.5,7.5,63.25,0.3649140585721467,0.46875,0.5866925744303653,0.25,0.125,0.5,228.0,12.25,0.3833333333333333,99.125,5.0,27.125,0.1063614800759013,11.875,68.125,327.125,0.625,5.6375,4.775,3.7125
Packers,Broncos,19.375,5.25,42.0,0.4928467365967366,0.4583333333333333,0.6544944643220505,0.0,0.375,0.25,214.25,11.0,0.75625,114.0,7.125,27.75,0.1077373832308042,9.5,59.125,328.25,0.625,6.85,5.5875,4.2,19.125,7.875,69.375,0.4395032051282051,0.3541666666666667,0.6222792088173213,0.125,0.25,0.625,223.625,11.875,0.4875,110.125,6.5,25.375,0.2075892857142856,11.25,63.75,333.75,0.875,5.8625,5.225,4.275
