team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,21.0,2.5,8.5,0.5927601809954751,0.5,0.6260416666666666,0.0,0.0,1.5,177.0,11.0,0.6333333333333333,119.0,9.5,35.5,0.0714285714285714,10.5,67.0,296.0,1.5,5.6,4.4,3.3499999999999996
Bears,24.5,4.0,26.0,0.5441176470588236,0.41666666666666663,0.5075396825396825,0.0,0.0,1.0,160.5,11.0,0.5833333333333333,209.5,12.0,39.5,0.15555555555555556,10.5,76.5,370.0,1.0,4.35,4.8,5.15
Bengals,23.5,5.0,32.5,0.6271929824561403,0.25,0.6080917874396135,0.0,0.5,1.0,265.0,14.5,0.5833333333333333,95.0,6.0,26.0,0.1339285714285714,10.5,68.0,360.0,1.5,6.45,5.4,3.5999999999999996
Bills,24.0,6.5,56.5,0.5393939393939393,0.875,0.718944099378882,1.0,1.0,0.5,178.0,11.0,0.55,216.0,11.5,40.0,0.0833333333333333,8.5,67.0,394.0,1.5,6.4,5.95,5.6
Broncos,25.0,6.5,41.5,0.525,0.6666666666666666,0.7301169590643275,0.5,0.0,0.5,259.5,15.5,0.6333333333333333,119.5,8.5,27.0,0.2708333333333333,8.5,70.5,379.0,0.5,5.9,5.35,4.35
Browns,18.5,5.5,37.5,0.3506493506493506,0.0,0.6007326007326008,0.0,1.5,0.5,233.0,10.0,0.5,99.5,6.5,25.5,0.1210407239819004,12.0,62.0,332.5,2.0,6.0,5.300000000000001,3.8
Buccaneers,16.0,6.0,44.5,0.33413461538461536,0.6428571428571428,0.5547619047619048,0.0,0.0,0.5,153.0,6.0,0.5,137.0,8.0,33.0,0.1,10.5,63.0,290.0,0.5,5.1,4.65,4.05
Cardinals,19.5,5.5,37.5,0.35416666666666663,0.0,0.6465909090909091,0.0,0.5,1.0,277.0,15.5,0.75,73.0,4.0,16.5,0.2875,10.5,61.0,350.0,1.5,6.25,5.699999999999999,4.3
Chargers,19.0,5.5,41.0,0.5371517027863777,0.0,0.6117216117216117,0.0,1.0,1.0,127.5,8.0,0.4666666666666667,180.5,8.5,40.5,0.2424242424242424,11.5,69.0,308.0,2.0,4.7,4.5,4.45
Chiefs,17.0,7.5,69.5,0.33516483516483514,0.6666666666666666,0.5503565062388591,0.0,0.0,1.5,195.5,10.0,0.75,122.5,6.5,26.0,0.1666666666666666,11.0,62.0,318.0,1.5,5.4,5.15,4.75
