team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,21.5,4.833333333333333,36.5,0.46231236764324996,0.3194444444444444,0.6781830776071333,0.0,0.4166666666666667,0.9166666666666666,240.75,13.25,0.6791666666666667,96.83333333333333,6.916666666666667,27.5,0.19002878929349518,10.333333333333334,63.666666666666664,337.5833333333333,1.3333333333333333,6.641666666666667,5.325,3.5666666666666664
Bears,21.25,6.916666666666667,54.083333333333336,0.448381241579771,0.5069444444444444,0.5782200856611021,0.0,0.25,0.5,218.66666666666666,11.0,0.5833333333333334,155.41666666666666,9.0,31.666666666666668,0.12072680273111307,11.083333333333334,66.66666666666667,374.0833333333333,0.75,6.333333333333333,5.641666666666667,4.791666666666667
Bengals,20.583333333333332,5.333333333333333,40.166666666666664,0.4202516294621557,0.4305555555555556,0.6195554774764186,0.16666666666666666,0.5,1.1666666666666667,239.91666666666666,12.25,0.6305555555555555,89.83333333333333,5.75,20.25,0.15102766385661118,10.75,61.333333333333336,329.75,1.6666666666666667,5.7,5.316666666666666,4.325
Bills,21.416666666666668,6.833333333333333,57.666666666666664,0.451426467051467,0.3625,0.6937964988868379,0.25,0.6666666666666666,0.8333333333333334,212.33333333333334,11.166666666666666,0.5499999999999999,161.91666666666666,8.166666666666666,31.166666666666668,0.21025022327771684,10.25,61.833333333333336,374.25,1.5,6.991666666666667,6.091666666666666,5.191666666666666
Broncos,19.75,8.333333333333334,76.75,0.4165204008954009,0.3194444444444445,0.6314523174777258,0.08333333333333333,0.16666666666666666,0.5833333333333334,224.66666666666666,11.666666666666666,0.5680555555555555,119.41666666666667,6.75,26.25,0.17807539682539678,11.0,63.5,344.0833333333333,0.75,6.05,5.3999999999999995,4.508333333333334
Browns,16.083333333333332,6.666666666666667,53.083333333333336,0.289868206412324,0.3055555555555555,0.5654394795019795,0.16666666666666666,0.5,0.75,165.66666666666666,7.75,0.5138888888888888,99.5,6.166666666666667,25.083333333333332,0.16222679795155254,11.916666666666666,61.416666666666664,265.1666666666667,1.25,4.7749999999999995,4.333333333333333,4.0
Buccaneers,18.833333333333332,5.583333333333333,42.166666666666664,0.37385959628606685,0.39325396825396824,0.624841719654646,0.16666666666666666,0.3333333333333333,0.5,203.25,9.416666666666666,0.4611111111111111,116.33333333333333,7.083333333333333,28.0,0.12952794754265343,11.25,63.416666666666664,319.5833333333333,0.8333333333333334,5.966666666666666,5.083333333333333,4.066666666666666
Cardinals,20.5,7.25,53.666666666666664,0.4174908424908425,0.3111111111111111,0.6631658572863566,0.16666666666666666,0.6666666666666666,0.6666666666666666,247.75,13.333333333333334,0.5777777777777778,92.66666666666667,5.583333333333333,22.25,0.15891441676325394,10.5,65.58333333333333,340.4166666666667,1.3333333333333333,5.766666666666667,5.216666666666667,4.108333333333333
Chargers,19.833333333333332,6.75,50.333333333333336,0.46150597875636573,0.34027777777777773,0.6465467635539726,0.0,0.5,0.9166666666666666,208.16666666666666,10.583333333333334,0.44186507936507935,128.66666666666666,7.333333333333333,28.0,0.2523067434090173,10.5,65.08333333333333,336.8333333333333,1.4166666666666667,5.633333333333333,5.158333333333333,4.808333333333334
Chiefs,22.75,6.75,58.5,0.4065641534391535,0.5694444444444444,0.6297970654440554,0.0,0.08333333333333333,0.8333333333333334,248.08333333333334,13.0,0.6402777777777778,120.66666666666667,8.0,27.916666666666668,0.1914064297216471,9.916666666666666,66.41666666666667,368.75,0.9166666666666666,6.45,5.558333333333334,4.45
