team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush
Falcons,Buccaneers,19.0,6.0,52.25,0.2559731934731934,0.375,0.6163372859025033,0.0,0.75,0.75,195.0,9.0,0.625,133.25,7.75,30.0,0.1145833333333333,11.5,60.5,328.25,1.5,6.425,5.425,4.45,16.75,4.0,32.25,0.4106334841628959,0.6214285714285714,0.5452380952380953,0.0,0.25,1.0,135.25,5.75,0.4583333333333333,149.75,9.0,33.5,0.1115530303030303,11.25,65.25,285.0,1.25,4.425,4.4,4.375
Browns,Bears,14.5,6.0,48.25,0.273538961038961,0.0,0.5436355311355312,0.25,1.0,0.75,188.25,7.0,0.4166666666666666,92.25,5.5,25.75,0.1659125188536952,12.75,56.5,280.5,1.75,6.15,4.925,3.55,21.75,5.25,43.75,0.5038964303670186,0.4583333333333333,0.5144841269841269,0.0,0.5,0.5,182.5,9.75,0.6666666666666666,164.5,11.0,35.75,0.1412393162393162,11.25,71.75,347.0,1.0,5.1,4.85,4.475
Ravens,Bengals,17.75,5.25,37.0,0.3138306138306138,0.8125,0.5498311335403727,0.0,1.25,1.0,184.0,8.0,0.3708333333333333,155.5,8.0,31.5,0.136935618729097,11.5,63.0,339.5,2.25,5.875,5.4,5.0,21.0,6.0,49.25,0.4879554655870445,0.2916666666666666,0.5793748410882278,0.25,0.5,1.0,227.25,12.0,0.5416666666666666,103.75,6.5,24.25,0.1276785714285714,10.25,65.25,331.0,1.5,5.6,5.125,4.3
Chargers,Chiefs,16.0,6.0,52.0,0.4193111455108359,0.3333333333333333,0.5823759573759574,0.0,0.5,0.75,136.75,6.75,0.3999999999999999,129.5,7.75,32.0,0.2107359307359307,11.25,63.0,266.25,1.25,4.45,4.1499999999999995,3.8,21.5,8.0,66.25,0.3731112637362637,0.5833333333333334,0.5938980598827146,0.0,0.25,1.25,246.5,12.0,0.4791666666666666,113.75,7.25,26.75,0.2777777777777777,10.75,69.25,360.25,1.5,5.725,5.175,4.375
Bills,Patriots,20.25,6.5,53.0,0.484185606060606,0.7125,0.6942759712580684,0.75,1.0,1.25,214.0,11.0,0.4625,168.0,8.0,31.75,0.0702380952380952,10.0,63.25,382.0,2.25,6.95,6.15,5.35,20.25,3.5,37.75,0.4258241758241758,0.6666666666666666,0.6635470317159122,0.5,0.0,0.5,275.25,12.75,0.325,114.25,5.75,28.5,0.4277777777777778,10.5,62.75,389.5,0.5,8.025,6.25,4.025
Commanders,Giants,19.5,5.75,40.25,0.3580316742081447,0.7083333333333334,0.6030681818181818,0.0,0.5,1.0,194.25,10.5,0.4,128.75,7.0,29.0,0.1527777777777777,8.75,62.25,323.0,1.5,5.975,5.15,4.4,20.5,6.75,58.75,0.4301948051948052,0.3333333333333333,0.6220325929377654,0.0,0.75,0.5,244.75,10.25,0.2958333333333333,136.0,8.25,33.5,0.2193831168831168,10.5,67.25,380.75,1.25,7.050000000000001,5.575,4.125
Raiders,Eagles,16.0,6.5,56.0,0.267156862745098,0.3333333333333333,0.6908835050818747,0.0,0.25,0.5,182.75,11.75,0.7083333333333333,39.5,2.5,15.75,0.1398669577548887,11.0,56.75,222.25,0.75,4.55,3.975,2.55,17.0,9.0,67.75,0.3310897435897436,0.0,0.5690328054298642,0.0,1.0,1.25,215.25,10.75,0.4583333333333333,108.0,4.5,25.0,0.0697358197358197,12.25,61.0,323.25,2.25,5.9,5.35,4.425
Jets,Jaguars,14.5,7.0,63.0,0.363974567099567,0.375,0.5449081147610559,0.25,0.5,1.0,152.5,7.75,0.4166666666666666,98.25,6.25,24.75,0.1811383061383061,11.0,58.5,250.75,1.5,4.575,4.275,3.925,21.5,7.25,56.75,0.3675407925407925,0.525,0.6024003475616379,0.0,0.5,1.0,209.75,11.75,0.7583333333333333,124.75,8.0,33.5,0.067251461988304,12.0,62.5,334.5,1.5,7.225,5.375,3.675
Cardinals,Texans,22.0,8.75,64.5,0.3623511904761904,0.0833333333333333,0.6994358054226475,0.25,0.5,1.0,319.25,16.0,0.6083333333333334,59.25,4.75,16.75,0.177840909090909,11.0,67.25,378.5,1.5,6.3,5.65,3.5,18.25,6.75,59.25,0.3450854700854701,0.25,0.569980517777528,0.0,0.0,0.25,208.75,10.25,0.4333333333333333,93.25,5.75,28.5,0.0985294117647058,11.5,65.0,302.0,0.25,5.7,4.625,3.325
Packers,Broncos,19.0,4.0,33.25,0.5757575757575757,0.25,0.6346853146853146,0.0,0.0,0.25,191.0,9.75,0.875,129.0,8.25,30.25,0.1220238095238095,9.25,57.0,320.0,0.25,7.125,5.675,4.45,19.0,8.5,77.0,0.4625,0.3333333333333333,0.6658103592314119,0.25,0.0,0.75,234.5,11.75,0.4499999999999999,95.5,6.75,25.5,0.212797619047619,10.0,64.75,330.0,0.75,5.85,5.05,3.65
Lions,Rams,19.0,6.75,50.25,0.4094551282051282,0.0,0.6302699758582111,0.0,0.0,0.5,258.0,11.25,0.4916666666666667,134.75,6.75,23.25,0.1333662714097496,11.25,60.5,392.75,0.5,7.05,6.5,6.1,21.0,4.0,27.5,0.3392045454545455,0.1666666666666666,0.6506336405529954,0.25,0.5,0.5,225.25,11.75,0.7916666666666666,147.5,8.25,24.5,0.05625,10.0,55.75,372.75,1.0,7.1499999999999995,6.6,5.800000000000001
