team1,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush
49ers,21.6,4.8,32.9,0.48144150783856665,0.3333333333333333,0.6812993679253078,0.0,0.4,1.0,234.0,13.0,0.6900000000000001,101.2,7.4,28.4,0.1530345471521942,10.3,63.4,335.2,1.4,6.659999999999999,5.3100000000000005,3.6100000000000003
Bears,21.7,6.9,55.8,0.4270684789067142,0.5083333333333333,0.5623705962998159,0.0,0.2,0.5,212.1,11.0,0.5333333333333333,164.4,9.4,32.4,0.13107905982905982,11.0,67.9,376.5,0.7,5.99,5.5600000000000005,4.95
Bengals,21.1,5.7,40.8,0.43417208522471673,0.4166666666666667,0.6108739803791098,0.2,0.3,0.9,245.9,12.4,0.5816666666666667,97.7,6.1,20.5,0.14305137844611523,10.5,61.9,343.6,1.2,5.83,5.51,4.66
Bills,20.9,7.3,58.8,0.45145202020202024,0.335,0.6984288145372214,0.3,0.8,1.0,216.6,11.3,0.5349999999999999,156.2,7.8,30.4,0.13230026793326025,10.3,61.4,372.8,1.8,7.07,6.11,5.13
Broncos,20.5,8.2,74.8,0.43999542124542124,0.2833333333333333,0.6284094476399377,0.1,0.2,0.6,234.3,12.4,0.5316666666666666,119.7,7.1,27.0,0.18035714285714283,11.1,66.0,354.0,0.8,6.029999999999999,5.33,4.36
Browns,16.1,6.6,50.5,0.2781837280366692,0.2833333333333333,0.5618607087357088,0.2,0.5,0.7,165.5,7.6,0.4666666666666666,98.3,6.2,26.0,0.16472563347769192,12.1,60.8,263.8,1.2,4.9799999999999995,4.36,3.7700000000000005
Buccaneers,18.2,4.6,33.7,0.3750051419169066,0.3719047619047619,0.6185033485220542,0.1,0.4,0.6,202.3,8.9,0.4666666666666666,110.5,7.2,27.2,0.12626687038451742,11.4,62.5,312.8,1.0,5.96,5.0600000000000005,3.96
Cardinals,21.4,7.0,51.8,0.4343223443223443,0.17333333333333334,0.6649418858864851,0.1,0.8,0.7,260.8,14.2,0.61,92.4,5.5,21.7,0.15958618900479365,10.8,67.5,353.2,1.5,5.68,5.24,4.18
Chargers,19.4,7.2,54.6,0.47038471461459075,0.35833333333333334,0.6459112778092904,0.0,0.4,1.0,199.2,10.2,0.4635714285714285,135.7,7.6,28.2,0.25276809209082074,10.3,64.6,334.9,1.4,5.43,5.14,5.08
Chiefs,23.4,6.7,57.2,0.40121031746031743,0.6166666666666666,0.6411246052803036,0.0,0.1,0.9,260.3,13.6,0.6516666666666666,122.2,8.1,28.1,0.20670634920634917,10.0,67.3,382.5,1.0,6.659999999999999,5.6899999999999995,4.49
Colts,20.9,6.4,54.9,0.4246520146520146,0.45,0.6591825867663154,0.0,0.6,0.9,229.2,11.8,0.7216666666666667,124.2,7.5,24.2,0.11849070672492645,10.5,59.3,353.4,1.5,6.58,5.970000000000001,4.95
Commanders,19.0,6.3,53.9,0.370021277741866,0.6333333333333333,0.6239830354830355,0.0,0.7,1.0,189.3,9.5,0.67,130.2,7.2,28.1,0.21728937728937728,9.3,59.3,319.5,1.7,6.16,5.4,4.64
Cowboys,22.7,8.1,68.2,0.4301311188811189,0.5333333333333333,0.6823286623632961,0.2,0.5,0.7,277.5,14.2,0.5666666666666667,117.8,6.4,26.9,0.2667857142857143,10.6,64.8,395.3,1.2,7.45,6.12,4.34
Dolphins,18.3,5.6,49.4,0.3077622377622377,0.36666666666666664,0.6602904004986754,0.0,0.3,1.0,174.0,9.7,0.4883333333333333,137.5,7.4,28.1,0.11069067738857843,10.8,57.8,311.5,1.3,5.9799999999999995,5.42,4.720000000000001
Eagles,16.9,7.7,61.0,0.2961931124431124,0.26666666666666666,0.6386677140331737,0.2,0.6,0.6,214.6,10.5,0.5,107.0,5.0,25.3,0.12702516863642183,11.1,57.9,321.6,1.2,6.659999999999999,5.62,4.2
Falcons,19.1,5.7,48.3,0.2676923076923077,0.36666666666666664,0.6112796869792884,0.0,0.6,0.4,208.5,10.3,0.65,118.9,6.8,27.1,0.1485576351752822,11.1,59.5,327.4,1.0,6.56,5.45,4.279999999999999
Giants,20.8,6.9,54.1,0.4408279220779221,0.39333333333333337,0.6223794707415398,0.0,0.6,0.5,208.6,9.3,0.5416666666666666,131.7,9.0,31.8,0.4177532467532467,10.4,65.0,340.3,1.1,6.17,5.2,4.1899999999999995
Jaguars,20.8,8.6,70.7,0.3687569375069375,0.5433333333333333,0.6170732534148713,0.3,0.4,0.7,203.6,10.5,0.5383333333333333,115.7,7.8,29.9,0.12977791579765263,11.0,64.1,319.3,1.1,6.17,5.01,3.87
Jets,16.3,6.9,54.1,0.3677236652236652,0.35,0.582814658581922,0.3,0.6,0.7,147.0,8.1,0.29333333333333333,128.8,7.1,27.0,0.1527311744229037,11.1,59.8,275.8,1.3,4.36,4.529999999999999,4.7
Lions,19.5,6.4,45.7,0.379582427376545,0.25,0.6819725840009816,0.1,0.3,0.4,242.1,12.0,0.58,131.9,6.5,26.3,0.13366618888358017,11.1,60.7,374.0,0.7,7.109999999999999,6.12,5.13
Packers,21.1,5.4,42.9,0.5111605061605061,0.5666666666666667,0.6687655177903775,0.0,0.4,0.3,229.5,11.5,0.7633333333333333,122.9,8.0,29.0,0.12785657325131008,9.6,61.2,352.4,0.7,7.17,5.7700000000000005,4.29
Panthers,19.3,5.4,39.0,0.354024064171123,0.6683333333333333,0.6502217432950191,0.1,0.4,0.7,185.5,10.4,0.44333333333333336,135.9,7.2,29.6,0.12545870292240527,10.0,60.7,321.4,1.1,5.890000000000001,5.220000000000001,4.5600000000000005
Patriots,20.5,5.4,46.8,0.41875624375624376,0.5166666666666666,0.7179446010742222,0.5,0.3,0.4,250.9,12.2,0.45499999999999996,116.7,6.8,30.0,0.3879652858600227,10.3,61.0,367.6,0.7,8.24,6.05,3.8600000000000003
Raiders,15.8,6.9,54.8,0.33182611506140913,0.2833333333333333,0.6866624569070221,0.0,0.3,1.0,165.4,9.9,0.575,72.8,3.9,20.6,0.13966275406384296,10.7,54.9,238.2,1.3,4.88,4.33,3.25
Rams,23.7,4.2,32.6,0.37457070707070705,0.5333333333333333,0.6655025964599596,0.1,0.6,0.2,253.0,13.8,0.7466666666666667,123.0,7.5,26.5,0.10016233766233765,10.4,61.4,376.0,0.8,7.15,6.09,4.65
Ravens,18.5,5.9,49.6,0.3526702545820193,0.5833333333333333,0.6355484154885888,0.0,0.8,0.9,174.5,8.3,0.43833333333333335,149.0,8.5,30.1,0.19020126612517915,10.8,60.1,323.5,1.7,6.029999999999999,5.4399999999999995,5.1
Saints,17.4,6.3,47.7,0.37778046300105117,0.25666666666666665,0.6631487514033954,0.2,0.8,1.0,199.3,9.5,0.4,92.0,6.3,25.7,0.16710782307065047,10.1,61.1,291.3,1.8,5.9,4.87,3.5
