team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush
Falcons,Buccaneers,19.23076923076923,5.615384615384615,45.38461538461539,0.2970414201183432,0.3397435897435897,0.6084296425098368,0.0,0.6153846153846154,0.4615384615384615,206.3846153846154,10.384615384615383,0.5538461538461539,123.6153846153846,6.923076923076923,27.76923076923077,0.1313691210750034,11.0,61.15384615384615,330.0,1.0769230769230769,6.269230769230769,5.361538461538462,4.353846153846154,18.615384615384617,5.538461538461538,43.53846153846154,0.3835627042640617,0.4399267399267399,0.6176423566042886,0.1538461538461538,0.3076923076923077,0.4615384615384615,199.84615384615384,9.461538461538462,0.5025641025641026,115.15384615384616,6.923076923076923,27.615384615384617,0.1291796438855262,11.153846153846152,62.84615384615385,315.0,0.7692307692307693,5.876923076923077,5.046153846153846,4.092307692307693
Browns,Bears,16.53846153846154,6.6923076923076925,53.07692307692308,0.3108398828421453,0.3333333333333333,0.5749355879163571,0.1538461538461538,0.4615384615384615,0.8461538461538461,174.30769230769232,8.153846153846153,0.5256410256410257,95.6153846153846,6.076923076923077,25.0,0.1625683263142536,11.76923076923077,62.15384615384615,269.9230769230769,1.3076923076923077,4.861538461538462,4.353846153846154,3.8461538461538463,21.153846153846153,7.3076923076923075,59.69230769230769,0.4331211460736348,0.4679487179487179,0.579895463687171,0.0769230769230769,0.3076923076923077,0.4615384615384615,217.07692307692307,10.923076923076923,0.6153846153846154,152.6153846153846,8.846153846153847,31.23076923076923,0.1242606384184633,11.23076923076923,66.38461538461539,369.6923076923077,0.7692307692307693,6.261538461538462,5.592307692307693,4.776923076923077
Ravens,Bengals,18.384615384615383,5.769230769230769,45.0,0.374431664363791,0.5256410256410257,0.653653744149396,0.0769230769230769,0.7692307692307693,0.6923076923076923,182.23076923076923,8.846153846153847,0.458974358974359,142.92307692307693,7.769230769230769,28.46153846153846,0.174597044538516,10.846153846153848,58.30769230769231,325.15384615384613,1.4615384615384617,6.338461538461539,5.653846153846154,5.061538461538461,19.846153846153847,5.461538461538462,39.61538461538461,0.4263861195035284,0.3974358974358974,0.6187201062993029,0.1538461538461538,0.4615384615384615,1.0769230769230769,228.76923076923077,11.846153846153848,0.6333333333333333,86.46153846153847,5.538461538461538,20.46153846153846,0.1522306640727692,10.692307692307692,60.38461538461539,315.2307692307692,1.5384615384615383,5.546153846153846,5.130769230769231,4.146153846153846
Chargers,Chiefs,20.0,6.6923076923076925,50.23076923076923,0.4674256371952251,0.391025641025641,0.6533734830995945,0.0,0.4615384615384615,0.8461538461538461,215.53846153846155,11.0,0.4463369963369963,125.6923076923077,7.230769230769231,27.76923076923077,0.2493820488610709,10.307692307692308,64.84615384615384,341.2307692307692,1.3076923076923077,5.8307692307692305,5.253846153846154,4.7153846153846155,22.384615384615383,7.0,59.46153846153846,0.4027625152625153,0.6025641025641025,0.6286884154394831,0.0,0.0769230769230769,0.7692307692307693,248.15384615384616,12.692307692307692,0.6166666666666666,118.92307692307692,8.0,27.076923076923077,0.1937768752986144,9.76923076923077,65.76923076923077,367.0769230769231,0.8461538461538461,6.423076923076923,5.592307692307693,4.553846153846154
Bills,Patriots,22.0,6.6923076923076925,56.15384615384615,0.45259879009879,0.4115384615384615,0.6956114839222985,0.2307692307692307,0.6153846153846154,0.7692307692307693,225.92307692307693,11.692307692307692,0.5626373626373626,157.76923076923077,8.23076923076923,31.153846153846153,0.2094617445640463,10.384615384615383,63.07692307692308,383.6923076923077,1.3846153846153846,7.092307692307693,6.115384615384615,5.061538461538461,20.53846153846154,6.230769230769231,51.30769230769231,0.4244729629345014,0.6128205128205129,0.7241895105433998,0.4615384615384615,0.5384615384615384,0.4615384615384615,249.69230769230768,12.23076923076923,0.4717948717948718,112.92307692307692,6.769230769230769,28.923076923076923,0.3599201336043441,10.23076923076923,61.84615384615385,362.61538461538464,1.0,7.846153846153846,5.9,3.8615384615384616
Commanders,Giants,19.0,6.6923076923076925,54.76923076923077,0.3751037800811556,0.5128205128205129,0.6276059979906135,0.0769230769230769,0.6153846153846154,0.7692307692307693,191.0,9.461538461538462,0.7012820512820513,136.46153846153845,7.230769230769231,28.0,0.2024020850943927,9.615384615384617,59.76923076923077,327.46153846153845,1.3846153846153846,6.223076923076923,5.5,4.792307692307692,20.46153846153846,7.384615384615385,62.92307692307692,0.3989885114885115,0.3987179487179487,0.6136508833806175,0.0,0.4615384615384615,0.6153846153846154,216.6153846153846,9.538461538461538,0.4576923076923077,123.46153846153848,8.307692307692308,29.923076923076923,0.3606704406704407,10.307692307692308,64.46153846153847,340.0769230769231,1.0769230769230769,6.130769230769231,5.238461538461538,4.146153846153846
Raiders,Eagles,16.23076923076923,6.846153846153846,55.84615384615385,0.3397817115011685,0.3461538461538461,0.675832220822171,0.0,0.2307692307692307,1.0769230769230769,184.46153846153845,10.461538461538462,0.5705128205128205,72.6923076923077,4.0,21.307692307692307,0.1394715387455859,10.846153846153848,56.76923076923077,257.15384615384613,1.3076923076923077,5.276923076923077,4.515384615384615,3.207692307692308,17.23076923076923,7.461538461538462,62.92307692307692,0.3301231887770349,0.3435897435897436,0.6577563291285891,0.2307692307692307,0.5384615384615384,0.4615384615384615,198.92307692307693,9.538461538461538,0.6153846153846154,110.46153846153848,6.230769230769231,27.076923076923077,0.1421255875957823,10.76923076923077,58.61538461538461,309.38461538461536,1.0,6.315384615384615,5.338461538461539,4.076923076923077
Jets,Jaguars,16.76923076923077,6.769230769230769,56.23076923076923,0.3423049173049172,0.4102564102564102,0.5947836146045865,0.3076923076923077,0.6923076923076923,0.6153846153846154,146.46153846153845,8.307692307692308,0.4115384615384615,128.3846153846154,7.230769230769231,27.153846153846153,0.1515261907585554,11.0,59.23076923076923,274.84615384615387,1.3076923076923077,4.546153846153846,4.553846153846154,4.676923076923076,20.384615384615383,8.615384615384615,71.15384615384616,0.3717262438416284,0.4948717948717949,0.6042357177987489,0.2307692307692307,0.3076923076923077,0.8461538461538461,206.15384615384616,10.692307692307692,0.5346153846153846,121.6923076923077,7.538461538461538,29.384615384615383,0.1165712474461581,11.153846153846152,64.61538461538461,327.84615384615387,1.1538461538461535,6.0307692307692315,5.092307692307693,4.130769230769231
Cardinals,Texans,20.384615384615383,7.384615384615385,53.69230769230769,0.4208791208791209,0.2871794871794871,0.6678560168054433,0.1538461538461538,0.6153846153846154,0.6153846153846154,238.69230769230768,13.153846153846152,0.5846153846153845,96.76923076923076,5.538461538461538,22.615384615384617,0.1583452425133999,10.384615384615383,65.23076923076923,335.46153846153845,1.2307692307692308,5.615384615384615,5.161538461538461,4.207692307692308,18.923076923076923,7.230769230769231,59.46153846153846,0.3549043779247399,0.5961538461538461,0.6299208924056084,0.1538461538461538,0.2307692307692307,0.5384615384615384,216.53846153846155,11.076923076923077,0.3743589743589744,105.6923076923077,5.461538461538462,26.923076923076923,0.1147570925180033,11.307692307692308,64.46153846153847,322.2307692307692,0.7692307692307693,5.884615384615385,4.992307692307692,3.976923076923077
Packers,Broncos,20.076923076923077,6.3076923076923075,47.76923076923077,0.498755944909791,0.5128205128205128,0.6729100869986888,0.0,0.3076923076923077,0.3076923076923077,223.15384615384616,11.153846153846152,0.7294871794871796,117.15384615384616,7.230769230769231,28.923076923076923,0.1163523905985879,9.76923076923077,60.23076923076923,340.3076923076923,0.6153846153846154,7.184615384615385,5.661538461538461,4.084615384615384,19.76923076923077,8.153846153846153,74.3076923076923,0.4152496008265239,0.2948717948717949,0.6309559853640546,0.0769230769230769,0.3076923076923077,0.6923076923076923,220.15384615384616,11.461538461538462,0.55,121.84615384615384,6.615384615384615,26.53846153846154,0.172069597069597,11.23076923076923,64.07692307692308,342.0,1.0,5.892307692307692,5.3307692307692305,4.546153846153846
