team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush
Falcons,Buccaneers,19.1,5.7,48.3,0.2676923076923077,0.3666666666666666,0.6112796869792884,0.0,0.6,0.4,208.5,10.3,0.65,118.9,6.8,27.1,0.1485576351752822,11.1,59.5,327.4,1.0,6.56,5.45,4.279999999999999,18.2,4.6,33.7,0.3750051419169066,0.3719047619047619,0.6185033485220542,0.1,0.4,0.6,202.3,8.9,0.4666666666666666,110.5,7.2,27.2,0.1262668703845174,11.4,62.5,312.8,1.0,5.96,5.0600000000000005,3.96
Browns,Bears,16.1,6.6,50.5,0.2781837280366692,0.2833333333333333,0.5618607087357088,0.2,0.5,0.7,165.5,7.6,0.4666666666666666,98.3,6.2,26.0,0.1647256334776919,12.1,60.8,263.8,1.2,4.9799999999999995,4.36,3.770000000000001,21.7,6.9,55.8,0.4270684789067142,0.5083333333333333,0.5623705962998159,0.0,0.2,0.5,212.1,11.0,0.5333333333333333,164.4,9.4,32.4,0.1310790598290598,11.0,67.9,376.5,0.7,5.99,5.5600000000000005,4.95
Ravens,Bengals,18.5,5.9,49.6,0.3526702545820193,0.5833333333333333,0.6355484154885888,0.0,0.8,0.9,174.5,8.3,0.4383333333333333,149.0,8.5,30.1,0.1902012661251791,10.8,60.1,323.5,1.7,6.029999999999999,5.4399999999999995,5.1,21.1,5.7,40.8,0.4341720852247167,0.4166666666666667,0.6108739803791098,0.2,0.3,0.9,245.9,12.4,0.5816666666666667,97.7,6.1,20.5,0.1430513784461152,10.5,61.9,343.6,1.2,5.83,5.51,4.66
Chargers,Chiefs,19.4,7.2,54.6,0.4703847146145907,0.3583333333333333,0.6459112778092904,0.0,0.4,1.0,199.2,10.2,0.4635714285714285,135.7,7.6,28.2,0.2527680920908207,10.3,64.6,334.9,1.4,5.43,5.14,5.08,23.4,6.7,57.2,0.4012103174603174,0.6166666666666666,0.6411246052803036,0.0,0.1,0.9,260.3,13.6,0.6516666666666666,122.2,8.1,28.1,0.2067063492063491,10.0,67.3,382.5,1.0,6.659999999999999,5.6899999999999995,4.49
Bills,Patriots,20.9,7.3,58.8,0.4514520202020202,0.335,0.6984288145372214,0.3,0.8,1.0,216.6,11.3,0.5349999999999999,156.2,7.8,30.4,0.1323002679332602,10.3,61.4,372.8,1.8,7.07,6.11,5.13,20.5,5.4,46.8,0.4187562437562437,0.5166666666666666,0.7179446010742222,0.5,0.3,0.4,250.9,12.2,0.4549999999999999,116.7,6.8,30.0,0.3879652858600227,10.3,61.0,367.6,0.7,8.24,6.05,3.86
Commanders,Giants,19.0,6.3,53.9,0.370021277741866,0.6333333333333333,0.6239830354830355,0.0,0.7,1.0,189.3,9.5,0.67,130.2,7.2,28.1,0.2172893772893772,9.3,59.3,319.5,1.7,6.16,5.4,4.64,20.8,6.9,54.1,0.4408279220779221,0.3933333333333333,0.6223794707415398,0.0,0.6,0.5,208.6,9.3,0.5416666666666666,131.7,9.0,31.8,0.4177532467532467,10.4,65.0,340.3,1.1,6.17,5.2,4.1899999999999995
Raiders,Eagles,15.8,6.9,54.8,0.3318261150614091,0.2833333333333333,0.6866624569070221,0.0,0.3,1.0,165.4,9.9,0.575,72.8,3.9,20.6,0.1396627540638429,10.7,54.9,238.2,1.3,4.88,4.33,3.25,16.9,7.7,61.0,0.2961931124431124,0.2666666666666666,0.6386677140331737,0.2,0.6,0.6,214.6,10.5,0.5,107.0,5.0,25.3,0.1270251686364218,11.1,57.9,321.6,1.2,6.659999999999999,5.62,4.2
Jets,Jaguars,16.3,6.9,54.1,0.3677236652236652,0.35,0.582814658581922,0.3,0.6,0.7,147.0,8.1,0.2933333333333333,128.8,7.1,27.0,0.1527311744229037,11.1,59.8,275.8,1.3,4.36,4.529999999999999,4.7,20.8,8.6,70.7,0.3687569375069375,0.5433333333333333,0.6170732534148713,0.3,0.4,0.7,203.6,10.5,0.5383333333333333,115.7,7.8,29.9,0.1297779157976526,11.0,64.1,319.3,1.1,6.17,5.01,3.87
Cardinals,Texans,21.4,7.0,51.8,0.4343223443223443,0.1733333333333333,0.6649418858864851,0.1,0.8,0.7,260.8,14.2,0.61,92.4,5.5,21.7,0.1595861890047936,10.8,67.5,353.2,1.5,5.68,5.24,4.18,20.3,7.0,58.2,0.3902645801910507,0.575,0.6285706494060433,0.2,0.1,0.4,229.8,12.2,0.4866666666666667,108.9,5.8,28.5,0.1190761121652962,11.4,67.6,338.7,0.5,6.02,4.99,3.85
Packers,Broncos,21.1,5.4,42.9,0.5111605061605061,0.5666666666666667,0.6687655177903775,0.0,0.4,0.3,229.5,11.5,0.7633333333333333,122.9,8.0,29.0,0.12785657325131,9.6,61.2,352.4,0.7,7.17,5.7700000000000005,4.29,20.5,8.2,74.8,0.4399954212454212,0.2833333333333333,0.6284094476399377,0.1,0.2,0.6,234.3,12.4,0.5316666666666666,119.7,7.1,27.0,0.1803571428571428,11.1,66.0,354.0,0.8,6.029999999999999,5.33,4.36
Lions,Rams,19.5,6.4,45.7,0.379582427376545,0.25,0.6819725840009816,0.1,0.3,0.4,242.1,12.0,0.58,131.9,6.5,26.3,0.1336661888835801,11.1,60.7,374.0,0.7,7.109999999999999,6.12,5.13,23.7,4.2,32.6,0.374570707070707,0.5333333333333333,0.6655025964599596,0.1,0.6,0.2,253.0,13.8,0.7466666666666667,123.0,7.5,26.5,0.1001623376623376,10.4,61.4,376.0,0.8,7.15,6.09,4.65
Panthers,Saints,19.3,5.4,39.0,0.354024064171123,0.6683333333333333,0.6502217432950191,0.1,0.4,0.7,185.5,10.4,0.4433333333333333,135.9,7.2,29.6,0.1254587029224052,10.0,60.7,321.4,1.1,5.890000000000001,5.220000000000001,4.5600000000000005,17.4,6.3,47.7,0.3777804630010511,0.2566666666666666,0.6631487514033954,0.2,0.8,1.0,199.3,9.5,0.4,92.0,6.3,25.7,0.1671078230706504,10.1,61.1,291.3,1.8,5.9,4.87,3.5
Titans,49ers,14.7,7.0,50.9,0.28295808766397,0.2297619047619047,0.5939851769573131,0.3,0.7,0.6,169.6,9.4,0.4333333333333333,83.8,4.0,20.1,0.1318705621685986,10.7,57.6,253.4,1.3,4.46,4.38,4.1,21.6,4.8,32.9,0.4814415078385666,0.3333333333333333,0.6812993679253078,0.0,0.4,1.0,234.0,13.0,0.6900000000000001,101.2,7.4,28.4,0.1530345471521942,10.3,63.4,335.2,1.4,6.659999999999999,5.3100000000000005,3.61
Colts,Seahawks,20.9,6.4,54.9,0.4246520146520146,0.45,0.6591825867663154,0.0,0.6,0.9,229.2,11.8,0.7216666666666667,124.2,7.5,24.2,0.1184907067249264,10.5,59.3,353.4,1.5,6.58,5.970000000000001,4.95,20.4,6.7,54.4,0.4175511988011988,0.4,0.6827616759602053,0.4,0.8,1.0,240.6,11.0,0.6,124.4,7.0,29.7,0.1196706887883358,11.0,59.2,365.0,1.8,8.68,6.319999999999999,4.29
Vikings,Cowboys,17.5,6.3,53.4,0.3146464646464646,0.4066666666666666,0.6091478767043836,0.0,0.5,1.6,179.2,10.0,0.5599999999999999,98.8,5.5,21.6,0.1759060846560846,10.8,57.6,278.0,2.1,4.7700000000000005,4.71,4.51,22.7,8.1,68.2,0.4301311188811189,0.5333333333333333,0.6823286623632961,0.2,0.5,0.7,277.5,14.2,0.5666666666666667,117.8,6.4,26.9,0.2667857142857143,10.6,64.8,395.3,1.2,7.45,6.12,4.34
Dolphins,Steelers,18.3,5.6,49.4,0.3077622377622377,0.3666666666666666,0.6602904004986754,0.0,0.3,1.0,174.0,9.7,0.4883333333333333,137.5,7.4,28.1,0.1106906773885784,10.8,57.8,311.5,1.3,5.9799999999999995,5.42,4.720000000000001,16.8,6.6,51.0,0.3971561771561771,0.3833333333333333,0.6636483977755325,0.3,0.5,0.6,198.6,8.7,0.615,97.1,6.5,23.3,0.1074537798802504,10.4,55.6,295.7,1.1,6.2,5.3100000000000005,4.14
