team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush
Bills,Texans,22.4,6.8,56.3,0.4492496392496393,0.3,0.6899178739290941,0.0,0.5,0.7,239.8,12.1,0.6214285714285714,147.6,7.9,30.1,0.2442050298380221,10.6,62.0,387.4,1.2,7.5,6.2700000000000005,4.86,19.3,7.2,58.9,0.3541107340372046,0.675,0.6543195871626212,0.2,0.3,0.6,222.0,11.6,0.3466666666666667,107.6,5.3,25.9,0.1215371614498749,11.2,64.6,329.6,0.9,5.9,5.1,4.17
Steelers,Bears,17.2,6.2,46.9,0.3816006216006216,0.3,0.6769567253141215,0.2,0.3,0.7,198.7,9.3,0.665,88.2,5.9,22.9,0.110060617487088,10.7,55.5,286.9,1.0,6.2,5.16,3.96,20.7,8.0,64.1,0.4003878066378066,0.425,0.5980704519996716,0.1,0.2,0.4,227.2,10.9,0.5833333333333333,146.6,8.4,30.2,0.1204277188328912,11.3,64.9,373.8,0.6,6.63,5.7700000000000005,4.779999999999999
Patriots,Bengals,20.454545454545453,6.7272727272727275,53.18181818181818,0.424726788363152,0.6333333333333333,0.7283362418277882,0.3636363636363636,0.6363636363636364,0.4545454545454545,244.0909090909091,12.090909090909092,0.5393939393939394,112.9090909090909,6.7272727272727275,28.727272727272727,0.3698046023404874,10.272727272727272,61.27272727272727,357.0,1.0909090909090908,7.818181818181818,5.863636363636363,3.872727272727273,19.1,5.5,38.5,0.4057864357864358,0.4,0.6300862017538026,0.1,0.5,1.1,225.7,11.5,0.6066666666666667,81.4,5.2,19.1,0.1611141490088858,10.8,58.7,307.1,1.6,5.4399999999999995,5.09,4.15
Giants,Lions,20.636363636363637,7.727272727272728,66.27272727272727,0.3930194805194805,0.4409090909090908,0.6141467851910164,0.0,0.4545454545454545,0.6363636363636364,208.45454545454547,9.454545454545457,0.5106060606060606,124.72727272727272,8.454545454545455,29.363636363636363,0.3869906860815951,10.181818181818182,64.36363636363636,333.1818181818182,1.0909090909090908,5.854545454545455,5.172727272727273,4.245454545454546,19.7,6.0,44.0,0.3622106325047501,0.525,0.700761039554143,0.1,0.3,0.4,236.8,12.4,0.574047619047619,130.1,6.5,28.1,0.1129863469863469,11.1,61.4,366.9,0.7,7.290000000000001,5.96,4.43
Vikings,Packers,17.5,7.7,60.6,0.3125757575757575,0.4566666666666666,0.5971390502905229,0.2,0.5,1.3,193.0,10.0,0.6066666666666667,103.4,5.4,22.2,0.179865984405458,11.3,57.4,296.4,1.8,5.41,5.11,4.57,20.4,7.1,53.6,0.4817160617160617,0.5666666666666667,0.6786012949164771,0.0,0.4,0.3,230.5,11.7,0.6983333333333334,113.5,6.8,27.8,0.1191152506353071,9.8,60.6,344.0,0.7,7.090000000000001,5.67,4.09
Seahawks,Titans,20.5,6.0,50.0,0.4090164002664002,0.35,0.7131327541573704,0.4,0.9,1.1,249.4,11.2,0.63,116.4,6.9,30.7,0.1092860734037204,11.2,59.3,365.8,2.0,9.25,6.26,3.81,15.1,7.0,53.6,0.2857031857031856,0.2833333333333333,0.5751198317761785,0.2,0.8,0.6,163.6,9.8,0.4,78.9,4.0,20.0,0.1341090887386469,10.7,57.3,242.5,1.4,4.32,4.2,3.93
Colts,Chiefs,23.7,6.2,52.4,0.4194655344655344,0.65,0.6976606512339762,0.1,0.5,0.7,251.6,13.1,0.705,145.3,8.7,27.4,0.1107129289471486,9.9,61.9,396.9,1.2,7.42,6.459999999999999,5.25,22.4,6.9,57.7,0.4128083028083028,0.55,0.6441801605626867,0.0,0.0,0.6,248.9,13.0,0.635,115.3,7.8,25.9,0.1519099378881987,9.4,64.0,364.2,0.6,6.58,5.7,4.61
Jets,Ravens,17.5,6.7,54.1,0.3565494227994228,0.3833333333333333,0.6108110086370956,0.3,0.8,0.4,139.9,8.2,0.4183333333333333,141.6,7.9,28.2,0.1427105437126178,10.8,59.3,281.5,1.2,4.4399999999999995,4.64,5.01,18.5,5.8,46.3,0.3996904566022213,0.4583333333333333,0.6858174139780658,0.1,0.6,0.7,180.0,9.2,0.4733333333333333,142.0,7.7,27.4,0.1914326796392013,10.7,56.6,322.0,1.3,6.45,5.7700000000000005,5.1899999999999995
Browns,Raiders,16.7,6.8,53.8,0.3089619775649187,0.4333333333333333,0.5722697441447442,0.2,0.2,0.9,159.4,8.2,0.5166666666666666,98.0,6.2,24.7,0.1537973460788163,11.4,63.6,257.4,1.1,4.14,4.04,4.0,16.4,6.9,54.2,0.3598534798534798,0.3833333333333333,0.6665141993217867,0.0,0.2,1.3,187.6,10.1,0.4916666666666667,81.4,4.6,22.6,0.139159320715582,10.8,56.9,269.0,1.5,5.49,4.6899999999999995,3.38
Jaguars,Cardinals,20.9,8.4,70.3,0.3862277999778,0.4933333333333333,0.608182657750082,0.3,0.2,0.8,199.4,10.3,0.475,127.5,8.2,29.5,0.1246420368846839,10.7,65.9,326.9,1.0,5.65,4.970000000000001,4.3100000000000005,20.1,7.8,57.0,0.4450595238095237,0.3399999999999999,0.6708946400288943,0.1,0.7,0.6,227.8,12.5,0.5766666666666667,105.7,5.8,24.1,0.1347124516310562,10.2,65.0,333.5,1.3,5.57,5.14,4.33
